MOLD,DISC TYPE,SPEED,GLIDE,TURN,FADE,STABILITY,DIAMETER (cm),HEIGHT (cm),RIM DEPTH (cm),RIM WIDTH (cm),INSIDE RIM DIAMETER (cm),RIM DEPTH / DIAMETER RATION (%),RIM CONFIGURATION,BEAD
"No2 Hookshot
",Mid Range,5,5,-1,3,2,21.5,2.1,1.1,1.3,18.9,5.1,40,No
"No2 Hyzer
",Mid Range,5,5,1,4,5,21.1,2,1.2,1.6,17.9,5.7,29,No
"Obex
",Control Driver,5,4,0,3,3,21.5,2.1,1.2,1.3,18.9,5.6,41,No
"Orbit
",Mid Range,5,4,0,3,3,21.2,2.1,1.3,1,19.2,6.1,60,Yes
"Origin
",Mid Range,5,5,-1,1,0,21.4,1.6,1.2,1.3,18.8,5.6,46.5,No
"Panther
",Mid Range,5,4,-2,1,-1,21.2,1.9,1.2,1.3,18.6,5.7,34,No
"Paradox
",Mid Range,5,4,-4,0,-4,21.5,1.8,1.3,1.3,18.9,6,50.25,No
"Pathfinder
",Mid Range,5,5,0,1,1,21.5,1.7,1.3,1.4,18.6,6,43,No
"Patrol
",Mid Range,5,5,-3,1,-2,21.7,1.6,1.2,1.4,18.8,5.5,44,No
"Pine
",Mid Range,5,4,0,2,2,21.7,1.9,1.3,1.5,18.7,6,39.75,No
"Piwakawaka
",Mid Range,5,6,-1,0,-1,21.8,2,1.2,1.3,19.2,5.5,38.25,No
"Proof
",Mid Range,5,6,-3,1,-2,21.5,1.5,1.1,1.3,19,5.1,39.5,No
"Prophecy
",Mid Range,5,5,0,2,2,21.9,1.7,1.2,1.5,19,5.5,38.5,Yes
"Pursuit
",Mid Range,5,3,0,3,3,21.3,1.6,1.3,1.5,18.3,6.1,44,No
"Pyro
",Mid Range,5,4,0,2.5,2.5,21.5,1.6,1.3,1.6,18.4,6,42.25,No
"Quake
",Mid Range,5,3,0,3,3,21.6,1.7,1.2,1.5,18.6,5.6,40,No
"Ra
",Mid Range,5,4,0,2.5,2.5,21.7,1.8,1.4,1.4,18.8,6.5,50.25,Yes
"Reactor
",Mid Range,5,5,-0.5,1.5,1,21.4,1.7,1.3,1.4,18.5,6.1,44.5,No
"Recluse
",Mid Range,5,3,0,4,4,21.3,1.6,1.3,1.5,18.3,6.1,44,Yes
"Rift
",Mid Range,5,4,-1,1.5,0.5,21.6,1.8,1.3,1.5,18.6,6,47,No
"Roc3
",Mid Range,5,4,0,3,3,21.8,2,1.3,1.4,19,6,43,Yes
"RocX3
",Mid Range,5,4,0,3.5,3.5,21.8,2,1.4,1.4,19,6.4,49.75,Yes
"Rollo
",Mid Range,5,6,-5,1,-4,21.8,1.6,1.1,1.5,18.8,5,32.75,Yes
"Runway
",Mid Range,5,4,0,3.5,3.5,21.5,1.7,1.4,1.4,18.6,6.5,47.25,Yes
"Scorpion
",Mid Range,5,5,-1,2,1,22.5,2.1,1.2,1.7,19.1,5.3,29.5,Yes
"Sentinel MF
",Mid Range,5,4,0,4,4,21.7,2.1,1.2,1.3,19.1,5.5,27.5,Yes
"Shark3
",Mid Range,5,4,0,2,2,21.8,2,1.3,1.4,19,6,39.5,No
"Shotgun
",Mid Range,5,5,0,2,2,22,1.8,1.3,1.6,18.8,5.9,48.25,No
"Silent Cruiser
",Mid Range,5,5,0,2.5,2.5,21.1,1.8,1.3,1.6,17.8,6.2,39.5,No
"Silicon
",Mid Range,5,4,0,3,3,21.6,1.8,1.4,1.3,18.9,6.5,45,No
"Skeeter
",Mid Range,5,5,-1,1,0,21.2,1.9,1.3,1.3,18.7,6.1,43.25,No
"Skylark
",Mid Range,5,4,0,2,2,21.7,1.9,1.5,1.4,19.3,6.9,46.5,No
"Sling
",Mid Range,5,5,0,1,1,21.8,1.8,1.2,1.3,19.3,5.5,41,No
"Solstice
",Mid Range,5,4,0,3,3,21.8,1.7,1.3,1.4,18.9,6,55.75,No
"Spider
",Mid Range,5,3,0,1,1,21.2,1.7,1.4,1.3,18.6,6.6,45,No
"Spruce
",Mid Range,5,4,-1,2,1,22,1.7,1.2,1.5,19.1,5.5,52.75,No
"STARi
",Mid Range,5,4,-2,1,-1,21.6,1.9,1.4,1.3,18.9,6.5,45,No
"Stratus
",Mid Range,5,4,-4,1,-3,21.4,1.8,1.2,1.2,19,5.6,36.25,No
"Supra
",Mid Range,5,5,0,1,1,21.6,1.7,1.2,1.4,18.9,5.6,45,No
"Supreme Fugitive
",Mid Range,5,3,0,4,4,21.7,1.9,1.3,1.5,18.7,6,39,Yes
"Svea
",Mid Range,5,6,-1,0,-1,21.9,2.1,1.3,1.3,19.3,5.9,41.5,No
"Texas Ranger
",Mid Range,5,5,-1,1,0,21.4,1.8,1.2,1.4,18.6,5.6,37.5,No
"Tomahawk
",Mid Range,5,6,0,0,0,21.6,1.9,1.3,1.3,19,6,34.75,No
"Torpedo
",Mid Range,5,5,0,1,1,21.4,1.6,1.4,1.4,18.5,6.5,42.5,No
"Troija
",Mid Range,5,2,0,5,5,21.7,2.1,1.4,1.5,18.7,6.5,40,No
"Trust
",Mid Range,5,5,0,2,2,21.7,1.9,1.3,1.3,19.1,6,43.75,No
"Truth
",Mid Range,5,5,-1,1,0,21.7,1.7,1.2,1.5,18.7,5.5,41.5,No
"Tursas
",Mid Range,5,5,-2,1,-1,21.7,1.7,1.3,1.4,18.9,6,42.5,No
"Uplink
",Mid Range,5,5,-3,0.5,-2.5,21.5,1.8,1.4,1.3,18.8,6.5,45,No
"Ursus
",Mid Range,5,4,0,3,3,21.3,1.7,1.3,1.5,18.3,6.1,44.25,Yes
"Valor
",Mid Range,5,5,0,2,2,21.7,2.1,1.3,1.2,19.3,6,49,Yes
"VCobra
",Mid Range,5,5,-1,2,1,21.7,2,1.1,1.2,19.3,5.1,35.25,No
"Vector
",Mid Range,5,4,0,2,2,21.7,2.1,1.3,1.3,19.1,6,36.5,No
"Verdict
",Mid Range,5,4,0,3.5,3.5,21.7,1.7,1.2,1.5,18.7,5.5,43.25,No
"Walker
",Mid Range,5,3,0,4,4,21.4,1.7,1.2,1.4,18.6,5.6,34.5,Yes
"Wall Cloud
",Mid Range,5,5,0,3,3,21.9,2.1,1.3,1.5,18.8,5.9,31.25,Yes
"Warrant
",Mid Range,5,5,-2,0,-2,21.7,1.8,1.3,1.4,18.8,6,46.5,No
"Warrior
",Mid Range,5,4,0,3,3,22,1.9,1.2,1.4,19.3,5.5,42.5,Yes
"Warship
",Mid Range,5,6,0,1,1,21.7,2.1,1.3,1.4,18.9,6,31,No
"Wasp
",Mid Range,5,3,0,2,2,21.6,1.8,1.3,1.2,19.2,6,37,Yes
"Wombat
",Mid Range,5,6,-1,0,-1,21.8,2.2,1.4,1.4,18.9,6.4,36.25,Yes
"Wombat3
",Mid Range,5,6,-1,0,-1,21.7,1.8,1.2,1.4,18.9,5.5,30,Yes
