MOLD,DISC TYPE,SPEED,GLIDE,TURN,FADE,STABILITY,DIAMETER (cm),HEIGHT (cm),RIM DEPTH (cm),RIM WIDTH (cm),INSIDE RIM DIAMETER (cm),RIM DEPTH / DIAMETER RATION (%),RIM CONFIGURATION,BEAD
"Slab
",Distance Driver,12,3,0,4,4,21.2,1.6,1.2,2.3,16.6,5.7,29,No
"Slaidi
",Distance Driver,12,5,0,3,3,21.1,2,1.2,2.2,16.8,5.7,30.5,No
"Spectra
",Distance Driver,12,5,-2,2,0,21.2,1.7,1.2,2.2,16.8,5.7,30.75,No
"Speed Demon
",Distance Driver,12,3,0,4,4,21.4,1.8,1.1,2.2,17,5.1,27,No
"Spirit
",Distance Driver,12,4,0,4,4,21.2,1.8,1.1,2.1,17,5.2,26,No
"Supreme Trespass
",Distance Driver,12,5,-0.5,3,2.5,21.1,1.7,1.1,2.2,16.6,5.2,30,No
"Sword
",Distance Driver,12,5,-0.5,2,1.5,21.2,1.8,1.2,2.2,16.8,5.7,28.75,No
"Synapse
",Distance Driver,12,5,-1.5,3,1.5,21.2,1.6,1.2,2.3,16.6,5.7,26.25,No
"TeeDevil
",Distance Driver,12,5,-1,2,1,21.2,1.6,1.2,2.4,16.4,5.7,28.5,No
"Tern
",Distance Driver,12,6,-3,2,-1,21.1,1.7,1.1,2.3,16.6,5.2,28.5,No
"Thrasher
",Distance Driver,12,5,-3,2,-1,21.1,1.7,1.1,2.1,16.8,5.2,26.75,No
"Trespass
",Distance Driver,12,5,-0.5,3,2.5,21.1,1.9,1.1,2.1,16.7,5.2,26.25,No
"Twin Swords
",Distance Driver,12,5,0,2,2,21.2,1.9,1.2,2.4,16.4,5.7,26.5,No
"Valhalla
",Distance Driver,12,5,0,2,2,21.3,2,1.2,2.2,16.8,5.6,28,No
"Villain
",Distance Driver,12,4,0,4,4,21.1,1.7,1.2,2.1,16.8,5.7,28,No
"Voyage
",Distance Driver,12,5,0,3,3,21.1,1.8,1.1,2.3,16.4,5.2,26.25,No
"Wahoo
",Distance Driver,12,6,-2,2,0,21,2,1.2,2.4,16.1,5.7,33.25,No
"Warbird
",Distance Driver,12,6,-1,3,2,21.1,1.9,1.2,2.3,16.5,5.7,26,No
"Wild Honey
",Distance Driver,12,5,-2,2,0,21,1.8,1.1,2.3,16.4,5.2,27.5,No
"X3
",Distance Driver,12,5,-1,2,1,21.1,1.7,1.1,2.2,16.6,5.2,30.5,No
"XCaliber
",Distance Driver,12,5,0,4,4,21.1,1.6,1.2,2.3,16.4,5.7,29.5,No
"Yeet
",Distance Driver,12,5,-1,3,2,21.1,1.8,1.2,2.3,16.5,5.7,26.25,No
"Zeus
",Distance Driver,12,5,-1,3,2,21.1,1.6,1.2,2.3,16.5,5.7,28.5,No
"Adder
",Distance Driver,13,5,0,4,4,21.2,1.9,1.1,2.2,16.8,5.2,28.75,No
"Aftermath
",Distance Driver,13,5,-2,3,1,21.2,1.7,1.1,2.5,16.3,5.2,29,No
"Ape
",Distance Driver,13,5,0,4,4,21.1,1.5,1.2,2.4,16.2,5.7,27.75,No
"Bayonet
",Distance Driver,13,5,-2,2,0,21,1.8,1.1,2.3,16.4,5.2,26,No
"Big Foot
",Distance Driver,13,6,-2,2,0,21.1,1.6,1.1,2.5,16.1,5.2,26,No
"Bolt
",Distance Driver,13,6,-2,3,1,21.1,1.7,1.1,2.4,16.4,5.2,27.75,No
"Boss
",Distance Driver,13,5,-1,3,2,21.2,1.5,1.2,2.5,16.2,5.7,26,No
"Bowie
",Distance Driver,13,5,0,4,4,21.1,1.7,1.1,2.4,16.3,5.2,26.25,No
"Captain
",Distance Driver,13,5,-2,2,0,21.1,1.6,1.1,2.3,16.6,5.2,30,No
"Catalyst
",Distance Driver,13,5.5,-2,2,0,21.1,1.9,1.2,2.4,16.3,5.7,30,No
"Company
",Distance Driver,13,4,0,3,3,21,2,1.1,2.3,16.4,5.2,27.75,No
"Crank
",Distance Driver,13,5,-2,2,0,21.1,1.6,1.1,2.4,16.3,5.2,30,No
"Crank SS
",Distance Driver,13,5,-3,2,-1,21.1,1.5,1.1,2.4,16.3,5.2,27.25,No
"Cruise
",Distance Driver,13,4,-2,3,1,21.1,1.6,1.1,2.3,16.4,5.2,26.5,No
"Cutlass
",Distance Driver,13,5,0,3.5,3.5,21.1,1.7,1.2,2.2,16.6,5.7,28.75,No
"D Model OS
",Distance Driver,13,5,0,4,4,21,1.5,1.1,2.2,16.7,5.2,26,No
"D Model S
",Distance Driver,13,6,0,2,2,21.1,1.5,1.1,2.2,16.7,5.2,30,No
"D Model US
",Distance Driver,13,6,-3,1,-2,21,1.6,1.1,2.2,16.7,5.2,28.25,No
"DaE
",Distance Driver,13,5,0,3,3,21,1.7,1.1,2.4,16.2,5.2,27.5,No
"Daedalus
",Distance Driver,13,6,-3,2,-1,21.1,1.5,1.2,2.3,16.4,5.7,26.25,No
"DD2
",Distance Driver,13,5,-2,2,0,21,1.8,1.1,2.3,16.4,5.2,31.75,No
"Defender
",Distance Driver,13,5,0,3,3,21,1.6,1.1,2.3,16.4,5.2,30.75,No
"Dominator
",Distance Driver,13,5,-1,2,1,21.1,1.4,1.1,2.4,16.2,5.2,27.75,No
"Energy
",Distance Driver,13,4,0,4,4,21.1,2.1,1.2,2.4,16.3,5.7,26,No
"Falcon
",Distance Driver,13,5,-2,2,0,21.1,1.4,1.1,2.4,16.3,5.2,30.25,No
"Falcor
",Distance Driver,13,6,-1,2.5,1.5,21.1,1.7,1.2,2.3,16.5,5.7,28.75,No
"Fasti
",Distance Driver,13,4,-2,3,1,21.1,1.6,1.1,2.3,17.1,5.2,26.75,No
"Fenris
",Distance Driver,13,5,-1,2,1,21.2,1.7,1.1,2.5,16.2,5.2,26,No
"Giant
",Distance Driver,13,4,0,3.5,3.5,21.1,1.7,1.2,2.3,16.6,5.7,29.25,No
"Gladiator
",Distance Driver,13,5,0,3.5,3.5,21.1,1.7,1.1,2.3,16.5,5.2,28.5,No
"Great White
",Distance Driver,13,5,-1,3,2,21.1,1.8,1.1,2.4,16.2,5.2,27.25,No
"Groove
",Distance Driver,13,6,-2,2,0,21.1,1.7,1.2,2.4,16.3,5.7,28,No
"Grym
",Distance Driver,13,5,-2,2,0,21.1,1.8,1.1,2.2,16.7,5.2,26.25,No
"Guld
",Distance Driver,13,5,-0.5,3,2.5,21.1,1.8,1.2,2.3,16.5,5.7,28.75,No
"Halo
",Distance Driver,13,5,-0.5,3,2.5,21.2,1.4,1.1,2.4,16.3,5.2,26.25,No
"Havoc
",Distance Driver,13,5,-1,3,2,21.1,1.7,1.1,2.3,16.6,5.2,28,No
"Hypercane
",Distance Driver,13,4,0,4,4,21.2,1.6,1.2,2.2,16.7,5.7,26.5,No
"Kahu
",Distance Driver,13,5,-1,2,1,21,1.5,1.1,2.4,16.2,5.2,31.5,No
"Kahu OS
",Distance Driver,13,5,0,3,3,21,1.5,1.1,2.4,16.2,5.2,31.5,No
"Kahu XG
",Distance Driver,13,5,-1.5,3,1.5,21,1.5,1.1,2.4,16.2,5.2,31.5,No
"Katana
",Distance Driver,13,5,-3,3,0,21.2,1.8,1.2,2.5,16.3,5.7,26.25,No
"Legenda
",Distance Driver,13,4,-1,4,3,21,1.5,1.1,2.4,16.3,5.2,26.75,No
"Majesty
",Distance Driver,13,5,-2,2,0,21,1.7,1.2,2.4,16.2,5.7,27.25,No
"Mayhem
",Distance Driver,13,5,-1.5,2,0.5,21.2,1.9,1.2,2.4,16.3,5.7,27.5,No
"Nitro
",Distance Driver,13,4,-0.5,3,2.5,21.2,1.9,1.2,2.4,16.3,5.7,26.75,No
"Nuke
",Distance Driver,13,5,-1,3,2,21.2,1.6,1.2,2.5,16.1,5.7,28.25,No
"Nuke OS
",Distance Driver,13,4,0,4,4,21.2,1.6,1.2,2.5,16.2,5.7,30.75,No
"Nuke SS
",Distance Driver,13,5,-3,3,0,21.2,1.5,1.1,2.5,16.2,5.2,28.75,No
"O-Lace
",Distance Driver,13,5,-1,3,2,21,1.7,1.1,2.3,16.3,5.2,26,No
"Octane
",Distance Driver,13,5,-1,2,1,21.1,1.7,1.2,2.4,16.3,5.7,27.25,No
"Panic
",Distance Driver,13,4,-0.5,3,2.5,21.1,1.7,1.2,2.4,16.3,5.7,26.25,No
"Pharaoh
",Distance Driver,13,6,-1,2,1,21.1,1.4,1.1,2.3,16.4,5.2,28.5,No
"QI
",Distance Driver,13,6,-2,2,0,21.2,1.6,1.1,2.3,16.5,5.2,28.5,No
"Quasar
",Distance Driver,13,5,0,3,3,21.2,1.6,1.2,2.5,16.2,5.7,27.25,No
"Raider
",Distance Driver,13,5,-0.5,3,2.5,21.2,1.5,1.1,2.3,16.3,5.2,29.25,No
"Recon
",Distance Driver,13,5,-1,3,2,21.2,1.7,1.1,2.4,16.4,5.2,28.75,No
"Reign
",Distance Driver,13,5,0,2,2,21,1.7,1.1,2.4,16.2,5.2,27.5,No
"Reverb
",Distance Driver,13,5,0,3.5,3.5,21.1,1.6,1.2,2.3,16.5,5.7,26.75,No
"Rive
",Distance Driver,13,5,0,3.5,3.5,21.1,1.8,1.2,2.3,16.5,5.7,30,No
"Samurai
",Distance Driver,13,5,-2,1,-1,21.1,1.8,1.2,2.3,16.5,5.7,29.25,No
"Sasquatch
",Distance Driver,13,5,-5,1,-4,21,1.7,1.1,2.5,16,5.2,26.5,No
"Seguin
",Distance Driver,13,5,0,3,3,21.1,1.6,1.1,2.3,16.6,5.2,28,No
"Sheriff
",Distance Driver,13,5,-1,2,1,21.1,1.6,1.1,2.4,16.3,5.2,30.25,No
"Shryke
",Distance Driver,13,6,-2,2,0,21.1,1.7,1.2,2.3,16.4,5.7,26,No
"Siren
",Distance Driver,13,5,-2,1,-1,21.1,1.8,1.2,2.3,16.4,5.7,29.25,Yes
"Slayer
",Distance Driver,13,5,-1,2,1,21.1,1.5,1.2,2.3,16.4,5.7,30,No
"Solace
",Distance Driver,13,4,0,4,4,21.1,1.7,1.1,2.4,16.2,5.2,27,No
"Sorcerer
",Distance Driver,13,5,-0.5,3,2.5,21.2,1.6,1.1,2.3,16.7,5.2,32.25,No
"Starling
",Distance Driver,13,5,-2,2,0,21,1.7,1.2,2.4,16.2,5.7,27,No
"Stiletto
",Distance Driver,13,3,0.5,5,5.5,21.3,1.7,1.1,2.4,16.4,5.2,26.75,No
"Taipan
",Distance Driver,13,5,0,3,3,21.1,1.6,1.1,2.4,16.3,5.2,27.25,No
"Tempest
",Distance Driver,13,5,-3,2,-1,21.1,1.7,1.1,2.3,16.5,5.2,26.25,No
"Tenacity
",Distance Driver,13,5,-2.5,2,-0.5,21.1,1.9,1.2,2.4,16.3,5.7,26.75,No
"Tombstone
",Distance Driver,13,4,0,4,4,21.1,1.3,1.1,2.3,16.5,5.2,28.75,No
"Venom
",Distance Driver,13,5,0,3,3,21,2,1.2,2.2,16.6,5.7,29,No
"Vulcan
",Distance Driver,13,5,-4,2,-2,21.2,1.4,1.1,2.4,16.4,5.2,27.25,No
"War Horse
",Distance Driver,13,4,0,4,4,21.1,1.6,1.2,2.2,16.6,5.7,28,No
"X1
",Distance Driver,13,3,0,5,5,21,1.5,1.2,2.3,16.3,5.7,27.5,No
"X2
",Distance Driver,13,4,0,4,4,21.1,1.8,1.1,2.2,16.6,5.2,26,No
"X4
",Distance Driver,13,5,-2.5,2,-0.5,21.2,1.7,1.1,2.3,16.6,5.2,27,No
"X5
",Distance Driver,13,5,-4,1,-3,21.1,1.9,1.1,2.2,16.6,5.2,28.25,No
"Yeti
",Distance Driver,13,6,-3,1,-2,21.1,1.6,1.1,2.5,16.1,5.2,26,No
"Albatross
",Distance Driver,14,6,-2,3,1,21,1.6,1.1,2.3,16.4,5.2,26.5,No
"Ballista
",Distance Driver,14,5,-1,3,2,21.1,1.7,1.1,2.4,16.3,5.2,26,No
"Ballista Pro
",Distance Driver,14,4,0,3,3,21.2,1.7,1.1,2.4,16.3,5.2,26.75,No
"Bohrium
",Distance Driver,14,6,-1,3,2,21,1.4,1.1,2.5,16,5.2,26.25,No
"Cannon
",Distance Driver,14,5,-3,3,0,21.1,1.8,1.2,2.5,16.1,5.7,26,No
"Catapult
",Distance Driver,14,4,-0.5,3,2.5,21.1,1.6,1.1,2.3,16.6,5.2,27,No
"Colossus
",Distance Driver,14,5,-1,3,2,21.1,1.7,1.1,2.5,16.1,5.2,29.75,No
"Corvette
",Distance Driver,14,6,-1,2,1,21.1,1.8,1.2,2.3,16.3,5.7,26.75,No
"Destiny
",Distance Driver,14,6,-2,3,1,21.2,1.6,1.1,2.3,16.6,5.2,28.5,No
"Firestorm
",Distance Driver,14,4,-1,3,2,21.1,1.5,1.1,2.3,16.5,5.2,27.5,No
"Freedom
",Distance Driver,14,5,-3,3,0,21.2,1.6,1.1,2.4,16.3,5.2,27.25,No
"Gray Jay
",Distance Driver,14,4,0,5,5,21,1.4,1.1,2.3,16.3,5.2,28.5,No
"King
",Distance Driver,14,5,-1.5,3,1.5,21.1,1.9,1.1,2.3,16.5,5.2,29.25,No
"Knight
",Distance Driver,14,4,-1.5,3,1.5,21.1,1.6,1.1,2.5,16.2,5.2,28.25,No
"Lace
",Distance Driver,14,6,-1,1,0,21,1.8,1.1,2.4,16.2,5.2,28.5,No
"Luan
",Distance Driver,14,5,-1,3,2,21.2,1.4,1.1,2.4,16.4,5.2,31.25,No
"Merlin
",Distance Driver,14,5,-1,4,3,21,1.7,1.1,2.3,16.4,5.2,26,No
"Prometheus
",Distance Driver,14,4,-1,1,0,22.6,1.6,1.2,2.6,17.5,5.3,26.5,No
"Queen
",Distance Driver,14,5,-3,2,-1,21.2,1.5,1.1,2.3,16.6,5.2,29.5,No
"Rampage
",Distance Driver,14,5,-1,4,3,21.1,1.8,1.2,2.5,16.1,5.7,26,No
"Rask
",Distance Driver,14,3,0,4,4,21.2,1.6,1.1,2.2,16.8,5.2,26.5,No
"Thunder God Thor
",Distance Driver,14,5,0,2,2,21,1.7,1.2,2.5,16,5.7,28,No
"Torrent
",Distance Driver,14,5,-1,2,1,21,1.5,1.2,2.4,16.1,5.7,27.25,No
"unLace
",Distance Driver,14,6,-5,1,-4,21.1,1.9,1.1,2.4,16.3,5.2,28.75,No
"World
",Distance Driver,14,4,-0.5,3,2.5,21.2,1.6,1.2,2.4,16.3,5.7,28,No
"Delirium
",Distance Driver,14.5,5,-0.5,3,2.5,21.1,1.8,1.2,2.5,16,5.7,27,No
"Dimension
",Distance Driver,14.5,5,0,3,3,21,1.8,1.2,2.5,16,5.7,27.75,No
"Excite
",Distance Driver,14.5,5.5,-2,2,0,21.1,2.1,1.2,2.5,15.9,5.7,27,No
"Limit
",Distance Driver,14.5,3.5,0,4,4,21.1,1.8,1.2,2.5,16,5.7,27.25,No
"Relativity
",Distance Driver,14.5,5.5,-3,1.5,-1.5,21.1,1.9,1.2,2.5,16,5.7,27.25,No
